S..No.,State..UT,Defective.brakes,Defective.Steering,Bald.Tyres,Other.serious.mechanical.defect,Metalled.Roads,Pucca.road..Normal.Road.,Kutcha.Roads,Loose.Surface,Road.under.repair.construction,Corrugated.Wavy.road,Snowy,Muddy,Slight.Curve,Flat.Road,Gentle.Incline,Pot.Holes,Speed.Breaker,Steep.Incline,Sharp.Curve,Others.road.conditions
1,Andhra Pradesh,5,6,6,6,7,6,7,4,6,5,6,5,6,6,6,6,6,6,7,7
2,Arunachal Pradesh,4,3,3,3,2,2,2,3,3,3,4,4,2,1,2,4,3,4,3,2
3,Assam,5,5,5,4,5,5,5,5,5,4,4,4,4,5,4,4,4,4,3,5
4,Bihar,5,5,5,4,5,4,5,6,7,7,7,7,6,5,5,6,7,6,6,5
5,Chhattisgarh,7,7,5,7,6,6,6,6,5,5,6,5,6,5,6,5,5,5,5,6
6,Goa,2,2,3,2,3,4,3,3,3,4,4,4,5,4,3,3,3,3,4,2
7,Gujarat,6,6,6,7,6,6,6,7,5,6,7,6,6,6,7,7,6,6,5,6
8,Haryana,5,5,6,5,4,5,6,5,3,3,4,3,5,5,2,3,5,5,4,5
9,Himachal Pradesh,2,2,3,3,5,4,4,5,4,4,5,4,4,4,5,3,1,4,5,3
10,Jammu & Kashmir,4,4,5,6,5,4,5,7,4,4,6,6,5,4,6,4,3,5,6,5
11,Jharkhand,5,5,4,5,4,3,5,3,5,6,4,5,4,4,5,5,6,5,5,6
12,Karnataka,7,5,7,6,7,7,7,5,6,6,7,7,7,7,7,6,7,7,7,7
13,Kerala,2,2,3,1,6,7,4,7,6,6,4,7,7,7,6,7,4,7,7,4
14,Madhya Pradesh,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
15,Maharashtra,6,7,7,6,7,7,6,6,6,7,4,7,7,7,7,7,7,7,6,6
16,Manipur,4,4,4,4,3,2,4,4,4,3,5,4,3,3,4,4,3,3,4,3
17,Meghalaya,3,4,4,4,2,2,2,2,3,3,4,3,2,3,2,3,4,2,2,4
18,Mizoram,1,2,3,2,3,2,1,2,3,3,4,3,3,1,3,3,1,1,1,1
19,Nagaland,3,3,3,2,2,1,2,2,3,3,4,3,2,2,2,3,1,2,2,1
20,Orissa,6,6,6,5,5,5,5,6,7,7,5,6,5,5,5,5,6,6,5,5
21,Punjab,3,3,4,3,4,5,3,4,5,5,5,5,4,4,4,5,5,4,4,4
22,Rajasthan,6,6,4,7,4,7,4,5,4,5,4,3,4,7,4,6,5,4,4,4
23,Sikkim,4,4,3,3,3,1,3,3,3,3,4,4,2,2,3,3,1,3,3,3
24,Tamil Nadu,7,7,6,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,6
25,Telangana,7,7,7,7,6,6,7,4,6,5,6,5,6,6,7,5,5,5,6,7
26,Tripura,3,3,3,2,3,3,2,2,3,3,4,3,3,3,4,3,3,2,2,3
27,Uttarakhand,4,4,5,4,4,3,3,4,4,4,4,3,3,3,3,4,4,3,3,2
28,Uttar Pradesh,7,7,7,5,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7
29,West Bengal,6,6,7,7,6,4,6,6,7,6,6,6,5,6,5,6,6,6,6,7
30,A & N Islands,1,2,3,1,2,2,1,2,3,3,4,3,2,2,2,3,2,3,2,1
31,Chandigarh,1,2,3,1,2,3,1,2,3,3,4,3,2,2,2,3,2,1,1,1
32,D & N Haveli,2,2,3,3,2,1,2,2,3,3,4,3,2,2,2,3,2,1,1,2
33,Daman & Diu,1,2,3,1,2,1,1,2,3,3,4,3,2,1,2,3,2,1,1,2
34,Delhi,3,3,3,5,2,5,3,2,3,3,4,3,2,1,2,3,2,2,2,4
35,Lakshadweep,1,2,3,1,2,1,1,2,3,3,4,3,2,1,2,3,1,1,1,1
36,Puducherry,2,2,3,2,2,3,4,3,3,3,5,3,3,3,3,3,4,2,3,3
